"SessionId";"GameId";"PlayerId";"PlayerName";"AIType"
43308.037674023;1;3;Coop Jeff;COOPERATIVE
43308.037674023;1;4;Greedy Kevin;COOPERATIVE
43308.037674023;1;5;Balanced Sam;COOPERATIVE
43308.037674023;2;9;Coop Jeff;COOPERATIVE
43308.037674023;2;10;Greedy Kevin;COOPERATIVE
43308.037674023;2;11;Balanced Sam;COOPERATIVE
43308.037674023;3;15;Coop Jeff;COOPERATIVE
43308.037674023;3;16;Greedy Kevin;COOPERATIVE
43308.037674023;3;17;Balanced Sam;COOPERATIVE
43308.037674023;4;21;Coop Jeff;COOPERATIVE
43308.037674023;4;22;Greedy Kevin;COOPERATIVE
43308.037674023;4;23;Balanced Sam;COOPERATIVE
43308.037674023;5;27;Coop Jeff;COOPERATIVE
43308.037674023;5;28;Greedy Kevin;COOPERATIVE
43308.037674023;5;29;Balanced Sam;COOPERATIVE
43308.037674023;6;33;Coop Jeff;COOPERATIVE
43308.037674023;6;34;Greedy Kevin;COOPERATIVE
43308.037674023;6;35;Balanced Sam;COOPERATIVE
43308.037674023;7;39;Coop Jeff;COOPERATIVE
43308.037674023;7;40;Greedy Kevin;COOPERATIVE
43308.037674023;7;41;Balanced Sam;COOPERATIVE
43308.037674023;8;45;Coop Jeff;COOPERATIVE
43308.037674023;8;46;Greedy Kevin;COOPERATIVE
43308.037674023;8;47;Balanced Sam;COOPERATIVE
43308.037674023;9;51;Coop Jeff;COOPERATIVE
43308.037674023;9;52;Greedy Kevin;COOPERATIVE
43308.037674023;9;53;Balanced Sam;COOPERATIVE
43308.037674023;10;57;Coop Jeff;COOPERATIVE
43308.037674023;10;58;Greedy Kevin;COOPERATIVE
43308.037674023;10;59;Balanced Sam;COOPERATIVE
43308.037674023;11;63;Coop Jeff;COOPERATIVE
43308.037674023;11;64;Greedy Kevin;COOPERATIVE
43308.037674023;11;65;Balanced Sam;COOPERATIVE
43308.037674023;12;69;Coop Jeff;COOPERATIVE
43308.037674023;12;70;Greedy Kevin;COOPERATIVE
43308.037674023;12;71;Balanced Sam;COOPERATIVE
43308.037674023;13;75;Coop Jeff;COOPERATIVE
43308.037674023;13;76;Greedy Kevin;COOPERATIVE
43308.037674023;13;77;Balanced Sam;COOPERATIVE
43308.037674023;14;81;Coop Jeff;COOPERATIVE
43308.037674023;14;82;Greedy Kevin;COOPERATIVE
43308.037674023;14;83;Balanced Sam;COOPERATIVE
43308.037674023;15;87;Coop Jeff;COOPERATIVE
43308.037674023;15;88;Greedy Kevin;COOPERATIVE
43308.037674023;15;89;Balanced Sam;COOPERATIVE
43308.037674023;16;93;Coop Jeff;COOPERATIVE
43308.037674023;16;94;Greedy Kevin;COOPERATIVE
43308.037674023;16;95;Balanced Sam;COOPERATIVE
43308.037674023;17;99;Coop Jeff;COOPERATIVE
43308.037674023;17;100;Greedy Kevin;COOPERATIVE
43308.037674023;17;101;Balanced Sam;COOPERATIVE
43308.037674023;18;105;Coop Jeff;COOPERATIVE
43308.037674023;18;106;Greedy Kevin;COOPERATIVE
43308.037674023;18;107;Balanced Sam;COOPERATIVE
43308.037674023;19;111;Coop Jeff;COOPERATIVE
43308.037674023;19;112;Greedy Kevin;COOPERATIVE
43308.037674023;19;113;Balanced Sam;COOPERATIVE
43308.037674023;20;117;Coop Jeff;COOPERATIVE
43308.037674023;20;118;Greedy Kevin;COOPERATIVE
43308.037674023;20;119;Balanced Sam;COOPERATIVE
