"SessionId";"GameId";"RoundId";"PlayerId";"PlayerName";"Event Type";"Instrument";"Value"
0;2;4;9;Coop Jeff;INSTRUMENT_VALUE_CHANGED;GUITAR;9
0;2;4;11;Balanced Sam;INSTRUMENT_VALUE_CHANGED;VOCALS;11
0;2;4;9;Coop Jeff;RECEIVED_MONEY;-;1000
0;2;4;10;Greedy Kevin;RECEIVED_MONEY;-;1000
0;2;4;11;Balanced Sam;RECEIVED_MONEY;-;1000
0;2;5;11;Balanced Sam;BOUGHT_TOKENS;-;1
0;3;0;15;Coop Jeff;SPENT_TOKEN;GUITAR;-
0;3;0;16;Greedy Kevin;SPENT_TOKEN;MARKETING;-
0;3;0;17;Balanced Sam;SPENT_TOKEN;VOCALS;-
0;3;0;15;Coop Jeff;INSTRUMENT_VALUE_CHANGED;GUITAR;5
0;3;0;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;VOCALS;6
0;3;0;15;Coop Jeff;RECEIVED_MONEY;-;1000
0;3;0;16;Greedy Kevin;RECEIVED_MONEY;-;1000
0;3;0;17;Balanced Sam;RECEIVED_MONEY;-;1000
0;3;1;15;Coop Jeff;BOUGHT_TOKENS;-;1
0;3;1;15;Coop Jeff;SPENT_TOKEN;GUITAR;-
0;3;1;16;Greedy Kevin;BOUGHT_TOKENS;-;1
0;3;1;16;Greedy Kevin;SPENT_TOKEN;MARKETING;-
0;3;1;17;Balanced Sam;BOUGHT_TOKENS;-;1
0;3;1;17;Balanced Sam;SPENT_TOKEN;VOCALS;-
0;3;1;15;Coop Jeff;INSTRUMENT_VALUE_CHANGED;GUITAR;11
0;3;1;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;VOCALS;6
0;3;1;15;Coop Jeff;RECEIVED_MONEY;-;3000
0;3;1;16;Greedy Kevin;INSTRUMENT_VALUE_CHANGED;MARKETING;4
0;3;1;16;Greedy Kevin;RECEIVED_MONEY;-;4000
0;3;1;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;MARKETING;0
0;3;1;17;Balanced Sam;RECEIVED_MONEY;-;0
0;3;2;15;Coop Jeff;BOUGHT_TOKENS;-;1
0;3;2;15;Coop Jeff;SPENT_TOKEN;GUITAR;-
0;3;2;16;Greedy Kevin;BOUGHT_TOKENS;-;1
0;3;2;16;Greedy Kevin;SPENT_TOKEN;MARKETING;-
0;3;2;15;Coop Jeff;INSTRUMENT_VALUE_CHANGED;GUITAR;8
0;3;2;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;VOCALS;6
0;3;2;15;Coop Jeff;RECEIVED_MONEY;-;1000
0;3;2;16;Greedy Kevin;RECEIVED_MONEY;-;1000
0;3;2;17;Balanced Sam;RECEIVED_MONEY;-;1000
0;3;3;17;Balanced Sam;BOUGHT_TOKENS;-;1
0;3;3;17;Balanced Sam;SPENT_TOKEN;VOCALS;-
0;3;3;15;Coop Jeff;INSTRUMENT_VALUE_CHANGED;GUITAR;7
0;3;3;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;VOCALS;11
0;3;3;15;Coop Jeff;RECEIVED_MONEY;-;3000
0;3;3;16;Greedy Kevin;INSTRUMENT_VALUE_CHANGED;MARKETING;12
0;3;3;16;Greedy Kevin;RECEIVED_MONEY;-;12000
0;3;3;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;MARKETING;0
0;3;3;17;Balanced Sam;RECEIVED_MONEY;-;0
0;3;4;15;Coop Jeff;INSTRUMENT_VALUE_CHANGED;GUITAR;11
0;3;4;17;Balanced Sam;INSTRUMENT_VALUE_CHANGED;VOCALS;9
0;3;4;15;Coop Jeff;RECEIVED_MONEY;-;1000
0;3;4;16;Greedy Kevin;RECEIVED_MONEY;-;1000
0;3;4;17;Balanced Sam;RECEIVED_MONEY;-;1000
0;3;5;17;Balanced Sam;BOUGHT_TOKENS;-;1
