"SessionId";"GameId";"RoundId";"PlayerId";"PlayerName";"Event Type";"Instrument";"Value"
2018/08/04/10-05-40;1;0;0;Emys;SPENT_TOKEN;VOCALS;-
2018/08/04/10-05-40;1;0;1;Glin;SPENT_TOKEN;BASS;-
2018/08/04/10-05-40;1;0;2;Player;SPENT_TOKEN;KEYBOARD;-
2018/08/04/10-05-40;1;0;0;Emys;ROLLED_INSTRUMENT_DICES;-;4
2018/08/04/10-05-40;1;0;0;Emys;INSTRUMENT_VALUE_CHANGED;VOCALS;4
2018/08/04/10-05-40;1;0;1;Glin;ROLLED_INSTRUMENT_DICES;-;2
2018/08/04/10-05-40;1;0;1;Glin;INSTRUMENT_VALUE_CHANGED;BASS;2
2018/08/04/10-05-40;1;0;2;Player;ROLLED_INSTRUMENT_DICES;-;6
2018/08/04/10-05-40;1;0;2;Player;INSTRUMENT_VALUE_CHANGED;KEYBOARD;6
