"GameId";"RoundId";"PlayerId";"PlayerName";"Money"
1;0;0;PL1;1000
1;0;1;PL2;1000
1;0;2;PL3;1000
1;1;0;PL1;2000
1;1;1;PL2;2000
1;1;2;PL3;2000
1;2;0;PL1;3000
1;2;1;PL2;3000
1;2;2;PL3;3000
2;0;3;PL1;3000
2;0;4;PL2;3000
2;0;5;PL3;3000
2;1;3;PL1;4000
2;1;4;PL2;4000
2;1;5;PL3;4000
2;2;3;PL1;5000
2;2;4;PL2;5000
2;2;5;PL3;5000
3;0;6;PL1;1000
3;0;7;PL2;1000
3;0;8;PL3;1000
3;1;6;PL1;2000
3;1;7;PL2;2000
3;1;8;PL3;2000
3;2;6;PL1;3000
3;2;7;PL2;3000
3;2;8;PL3;3000
4;0;9;PL1;1000
4;0;10;PL2;1000
4;0;11;PL3;1000
4;1;9;PL1;4000
4;1;10;PL2;4000
4;1;11;PL3;4000
4;2;9;PL1;5000
4;2;10;PL2;5000
4;2;11;PL3;5000
5;0;12;PL1;1000
5;0;13;PL2;1000
5;0;14;PL3;1000
5;1;12;PL1;2000
5;1;13;PL2;2000
5;1;14;PL3;2000
5;2;12;PL1;5000
5;2;13;PL2;5000
5;2;14;PL3;5000
6;0;15;PL1;1000
6;0;16;PL2;1000
6;0;17;PL3;1000
6;1;15;PL1;4000
6;1;16;PL2;4000
6;1;17;PL3;4000
6;2;15;PL1;7000
6;2;16;PL2;7000
6;2;17;PL3;7000
7;0;18;PL1;1000
7;0;19;PL2;1000
7;0;20;PL3;1000
7;1;18;PL1;4000
7;1;19;PL2;4000
7;1;20;PL3;4000
7;2;18;PL1;7000
7;2;19;PL2;7000
7;2;20;PL3;7000
8;0;21;PL1;3000
8;0;22;PL2;3000
8;0;23;PL3;3000
8;1;21;PL1;4000
8;1;22;PL2;4000
8;1;23;PL3;4000
8;2;21;PL1;7000
8;2;22;PL2;7000
8;2;23;PL3;7000
9;0;24;PL1;3000
9;0;25;PL2;3000
9;0;26;PL3;3000
9;1;24;PL1;4000
9;1;25;PL2;4000
9;1;26;PL3;4000
9;2;24;PL1;7000
9;2;25;PL2;7000
9;2;26;PL3;7000
10;0;27;PL1;1000
10;0;28;PL2;1000
10;0;29;PL3;1000
10;1;27;PL1;2000
10;1;28;PL2;2000
10;1;29;PL3;2000
10;2;27;PL1;3000
10;2;28;PL2;3000
10;2;29;PL3;3000
11;0;30;PL1;1000
11;0;31;PL2;1000
11;0;32;PL3;1000
11;1;30;PL1;2000
11;1;31;PL2;2000
11;1;32;PL3;2000
11;2;30;PL1;3000
11;2;31;PL2;3000
11;2;32;PL3;3000
12;0;33;PL1;1000
12;0;34;PL2;1000
12;0;35;PL3;1000
12;1;33;PL1;2000
12;1;34;PL2;2000
12;1;35;PL3;2000
12;2;33;PL1;5000
12;2;34;PL2;5000
12;2;35;PL3;5000
13;0;36;PL1;3000
13;0;37;PL2;3000
13;0;38;PL3;3000
13;1;36;PL1;4000
13;1;37;PL2;4000
13;1;38;PL3;4000
13;2;36;PL1;5000
13;2;37;PL2;5000
13;2;38;PL3;5000
14;0;39;PL1;1000
14;0;40;PL2;1000
14;0;41;PL3;1000
14;1;39;PL1;4000
14;1;40;PL2;4000
14;1;41;PL3;4000
14;2;39;PL1;7000
14;2;40;PL2;7000
14;2;41;PL3;7000
15;0;42;PL1;1000
15;0;43;PL2;1000
15;0;44;PL3;1000
15;1;42;PL1;4000
15;1;43;PL2;4000
15;1;44;PL3;4000
15;2;42;PL1;7000
15;2;43;PL2;7000
15;2;44;PL3;7000
16;0;45;PL1;1000
16;0;46;PL2;1000
16;0;47;PL3;1000
16;1;45;PL1;2000
16;1;46;PL2;2000
16;1;47;PL3;2000
16;2;45;PL1;5000
16;2;46;PL2;5000
16;2;47;PL3;5000
17;0;48;PL1;1000
17;0;49;PL2;1000
17;0;50;PL3;1000
17;1;48;PL1;2000
17;1;49;PL2;2000
17;1;50;PL3;2000
17;2;48;PL1;3000
17;2;49;PL2;3000
17;2;50;PL3;3000
18;0;51;PL1;1000
18;0;52;PL2;1000
18;0;53;PL3;1000
18;1;51;PL1;4000
18;1;52;PL2;4000
18;1;53;PL3;4000
18;2;51;PL1;5000
18;2;52;PL2;5000
18;2;53;PL3;5000
19;0;54;PL1;1000
19;0;55;PL2;1000
19;0;56;PL3;1000
19;1;54;PL1;4000
19;1;55;PL2;4000
19;1;56;PL3;4000
19;2;54;PL1;5000
19;2;55;PL2;5000
19;2;56;PL3;5000
20;0;57;PL1;1000
20;0;58;PL2;1000
20;0;59;PL3;1000
20;1;57;PL1;2000
20;1;58;PL2;2000
20;1;59;PL3;2000
20;2;57;PL1;3000
20;2;58;PL2;3000
20;2;59;PL3;3000
21;0;60;PL1;1000
21;0;61;PL2;1000
21;0;62;PL3;1000
21;1;60;PL1;2000
21;1;61;PL2;2000
21;1;62;PL3;2000
21;2;60;PL1;3000
21;2;61;PL2;3000
21;2;62;PL3;3000
22;0;63;PL1;1000
22;0;64;PL2;1000
22;0;65;PL3;1000
22;1;63;PL1;4000
22;1;64;PL2;4000
22;1;65;PL3;4000
22;2;63;PL1;5000
22;2;64;PL2;5000
22;2;65;PL3;5000
23;0;66;PL1;1000
23;0;67;PL2;1000
23;0;68;PL3;1000
23;1;66;PL1;2000
23;1;67;PL2;2000
23;1;68;PL3;2000
23;2;66;PL1;5000
23;2;67;PL2;5000
23;2;68;PL3;5000
24;0;69;PL1;1000
24;0;70;PL2;1000
24;0;71;PL3;1000
24;1;69;PL1;2000
24;1;70;PL2;2000
24;1;71;PL3;2000
24;2;69;PL1;3000
24;2;70;PL2;3000
24;2;71;PL3;3000
25;0;72;PL1;1000
25;0;73;PL2;1000
25;0;74;PL3;1000
25;1;72;PL1;4000
25;1;73;PL2;4000
25;1;74;PL3;4000
25;2;72;PL1;5000
25;2;73;PL2;5000
25;2;74;PL3;5000
26;0;75;PL1;1000
26;0;76;PL2;1000
26;0;77;PL3;1000
26;1;75;PL1;2000
26;1;76;PL2;2000
26;1;77;PL3;2000
26;2;75;PL1;3000
